quest_cluster,quest_or_stage_signal,vanilla_surface,modding_signal_meaning,primary_quest/lore context,hook_route,anti_farm_rule,source_id,status
Thieves Guild,Join Guild,Faction rank / crime context,"Theft as institution, shadow economy, obligation",Nocturnal/Zenithar/Mephala,"Faction rank plus curated quest stages","Faction milestones only; avoid generic theft scoring",uesp_skyrim_factions,design-seed
Thieves Guild,Nightingale oath,Quest stage / faction,"Explicit Nocturnal compact",Nocturnal,"Quest stage one-shot","One-shot commitment marker",uesp_skyrim_quests,design-seed
Thieves Guild,Return Skeleton Key,Quest stage/item removal,"Repayment of debt and restoration of covenant",Nocturnal/Zenithar,"Quest stage plus item removal","One-shot; do not score duplicate inventory changes",uesp_skyrim_quests,design-seed
Dark Brotherhood,Join Brotherhood,Faction rank / quest stage,"Assassination oath and Sithis/Night Mother alignment",Sithis/Mephala/Boethiah,"Faction rank plus quest stage","One faction-choice marker",uesp_skyrim_factions,design-seed
Dark Brotherhood,Destroy Brotherhood,Quest stage,"Anti-assassin civic/justice action",Stendarr/Arkay/Imperial civic order,"Quest stage one-shot","Mutually exclusive with join path",uesp_skyrim_quests,design-seed
Dark Brotherhood,Emperor assassination,Quest stage,"Ultimate political murder; duty vs sacrilege",Sithis/Mephala/Boethiah/Imperial cult,"Quest stage one-shot","One-shot final-state marker",uesp_skyrim_quests,design-seed
Dawnguard,Join Dawnguard,Faction rank / DLC1 quest stage,"Anti-vampire oath and protection of living",Stendarr/Arkay/Meridia,"Faction rank plus DLC1 stage","One faction-choice marker",uesp_skyrim_factions,design-seed
Dawnguard,Join Volkihar vampires,Faction rank / DLC1 quest stage,"Vampire lord path and rejection of Arkay cycle",Molag Bal/Arkay/Stendarr,"Faction rank plus vampire state","One faction-choice marker plus curse transition",uesp_skyrim_quests,design-seed
Dawnguard,Soul Cairn entry,Location / quest stage,"Soul bargain, necromantic threshold, Ideal Masters",Arkay/Molag Bal/Hermaeus Mora,"Location plus quest stage","One-shot per entry milestone; not every cell load",uesp_skyrim_quests,design-seed
Dawnguard,Auriel's Bow acquired,Quest stage/item add,"Auri-El relic and anti-vampire solar quest/lore context",Auri-El/Meridia/Molag Bal,"Quest stage plus item acquisition","One-shot artifact marker",uesp_skyrim_quests,design-seed
Dragonborn,Temple of Miraak / first Apocrypha contact,Quest stage/location,"Hermaeus Mora attention and stolen Dragonborn identity",Hermaeus Mora/All-Maker/Talos,"DLC2 stage plus worldspace context","One-shot per major Apocrypha threshold",uesp_skyrim_quests,design-seed
Dragonborn,Black Book read,BookRead / quest stage,"Forbidden knowledge bargain",Hermaeus Mora/Julianos,"PO3 BookRead plus curated book FormList","One-shot per Black Book",uesp_skyrim_quests,design-seed
Dragonborn,Choose Skaal secrets outcome,Quest stage/dialogue,"Knowledge extraction, community cost, and divine bargain",Hermaeus Mora/All-Maker,"Curated quest stage/dialogue signal","One-shot",uesp_skyrim_quests,design-seed
Daedric,Azura's Star returned to Azura,Quest stage/item,"Faithful restoration of Azura's artifact",Azura/Azurah,"Quest stage one-shot","Mutually exclusive with Black Star path",uesp_skyrim_quests,design-seed
Daedric,Azura's Star corrupted to Black Star,Quest stage/item,"Utility over orthodoxy; soul-trapping intensifies",Azura/Nocturnal/Arkay friction,"Quest stage one-shot","Mutually exclusive with Azura path",uesp_skyrim_quests,design-seed
Daedric,Boethiah sacrifice,Quest stage/kill,"Sacrificial betrayal and Boethiah initiation",Boethiah/Boethra,"Quest stage plus validated kill context","One-shot; do not score any follower death",uesp_skyrim_quests,design-seed
Daedric,Hircine spare or kill Sinding,Quest stage/kill,"Hunt law, mercy, predation, and bargain logic",Hircine/Y'ffre/Kyne,"Quest stage plus kill/no-kill marker","One-shot final choice",uesp_skyrim_quests,design-seed
Daedric,Mehrunes Razor reforged,Quest stage/item,"Destruction artifact restoration",Mehrunes Dagon,"Quest stage plus artifact acquisition","One-shot",uesp_skyrim_quests,design-seed
Daedric,Meridia beacon and Kilkreath cleanse,Quest stage/location,"Anti-undead light and forced service",Meridia/Arkay/Stendarr,"Quest stage plus undead-kill context","One-shot major stage; do not score every undead as Meridia",uesp_skyrim_quests,design-seed
Daedric,Molag Bal mace domination,Quest stage,"Domination, corruption, and forced submission",Molag Bal/Stendarr friction,"Quest stage one-shot","One-shot final state",uesp_skyrim_quests,design-seed
Daedric,Namira cannibal feast,Quest stage/eat signal,"Cannibal taboo and Namira covenant",Namira/Arkay/Bosmer friction,"Quest stage plus curated consume signal","One-shot covenant marker",uesp_skyrim_quests,design-seed
Daedric,Peryite quest completion,Quest stage,"Disease, order, and plague obedience",Peryite/Arkay/Stendarr,"Quest stage one-shot","One-shot",uesp_skyrim_quests,design-seed
Daedric,Vaermina Skull destroyed,Quest stage/item,"Dream harm refused and priest spared",Vaermina/Mara/Stendarr,"Quest stage one-shot","Mutually exclusive with Skull kept",uesp_skyrim_quests,design-seed
Daedric,Vaermina Skull kept,Quest stage/item,"Dream predation accepted",Vaermina/Mephala,"Quest stage one-shot","Mutually exclusive with Skull destroyed",uesp_skyrim_quests,design-seed
Local Temple,Book of Love completion,Quest stage,"Mara-style reconciliation and mercy",Mara,"Quest stage one-shot","One-shot final state",uesp_skyrim_quests,design-seed
Local Temple,Kyne's Sacred Trials,Quest stage/kill,"Ritual hunt under Kyne frame",Kyne/Kynareth/Hircine contrast,"Quest stage plus kill validation","Only curated trial kills",uesp_skyrim_quests,design-seed
Local Temple,Hall of the Dead favor quests,Quest stage/location,"Respect for dead and local priest service",Arkay,"Curated local quest stages","One-shot per quest",uesp_skyrim_quests,design-seed
