semantic_family,record_targets,example_editorid_patterns,semantic_tag_candidate,modding_use,offline_patcher_rule,source_table,status
Vampire state,RACE/SPEL/MGEF,"Vampire*, DLC1Vampire*",SkyrimRef_Curse_Vampire,"Molag Bal, Arkay, Stendarr, race curse modifiers","Use race/effect records plus runtime state events",extracted/vanilla-race-records.csv,seed
Werewolf state,RACE/SPEL/MGEF,"Werewolf*, BeastForm*",SkyrimRef_Curse_Werewolf,"Hircine, Companions, Arkay friction","Use race/effect records plus runtime state events",extracted/vanilla-race-records.csv,seed
Daedric material,INGR/MISC/ARMO/WEAP,"DaedraHeart, Daedric*",SkyrimRef_Material_Daedric,"Daedric craft, offering, corruption, stigma","Generated by editorid/name plus material keywords",extracted/vanilla-item-semantic-candidates.csv,seed
Ore/ingot,MISC,"*Ore, *Ingot",SkyrimRef_Material_CraftLabor,"Malacath/Zenithar labor and smithing rites","Generated by editorid suffix",extracted/vanilla-item-semantic-candidates.csv,seed
Hide/leather,ALCH/MISC/ARMO,"Hide, Pelt, Leather",SkyrimRef_Material_HuntCraft,"Hircine/Kyne/Bosmer hunt-to-craft loop","Generated by editorid/name",extracted/vanilla-item-semantic-candidates.csv,seed
Holy shrine activator,ACTI,"Shrine*, Altar*",SkyrimRef_Activator_Shrine,"Prayer, blessing, commitment, cure privilege","Manual whitelist; do not replace vanilla scripts blindly",extracted/vanilla-shrine-activator-candidates.csv,seed
Standing stone activator,ACTI/SPEL,"Doomstone*, StandingStone*",SkyrimRef_Activator_StandingStone,"One-active-blessing pattern and constellation quest/lore context","Use as balance/UX reference more than score source",extracted/vanilla-shrine-activator-candidates.csv,seed
Temple location,LCTN,"*Temple*, *Shrine*, HallOfDead*",SkyrimRef_Location_TempleOrRite,"Sacred-place gates, priest privileges, shrine context","Patch LCTN/FormLists from extracted candidates",extracted/vanilla-location-signal-candidates.csv,seed
City/civic location,LCTN,"*City*, *Hold*, Palace, Court",SkyrimRef_Location_Civic,"Imperial/Nord public worship pressure and crime context","Use extracted location candidates plus hold FormLists",extracted/vanilla-location-signal-candidates.csv,seed
Orc stronghold,LCTN/FACT/NPC,"Orc*, Stronghold*",SkyrimRef_Location_OrcCommunity,"Malacath code, Blood-Kin, craft/community boons","Cross-check location, NPC, and faction candidates",extracted/vanilla-location-signal-candidates.csv,seed
Khajiit caravan,NPC/FACT,"Khajiit*, Caravan*",SkyrimRef_Actor_KhajiitCaravan,"Khajiit community, moon worship, city exclusion","Likely manual FormList, not pure keyword extraction",extracted/vanilla-npc-actor-candidates.csv,seed
Thalmor actor,NPC/FACT,"Thalmor*, Justiciar*",SkyrimRef_Actor_ThalmorPressure,"Talos ban, Altmer orthodoxy, Imperial compromise","Patch actor/faction lists manually from extracted candidates",extracted/vanilla-npc-actor-candidates.csv,seed
Vigilant actor,NPC/FACT,"Vigil*, Stendarr*",SkyrimRef_Actor_Vigilant,"Stendarr anti-Daedra/vampire signal and dialogue recognition","Patch faction/NPC FormLists",extracted/vanilla-npc-actor-candidates.csv,seed
Hostile undead,NPC/KEYWORD/FACT,"ActorTypeUndead, Draugr, Skeleton, Vampire",SkyrimRef_Actor_Undead,"Arkay/Stendarr/Meridia/necromancy scoring","Prefer keywords and factions; validate player vampire state",extracted/vanilla-keyword-inventory.csv,seed
Hostile Daedra,NPC/KEYWORD/FACT,"ActorTypeDaedra, Dremora, Atronach",SkyrimRef_Actor_Daedra,"Stendarr, Daedric paths, banish compatibility","Use ActorTypeDaedra and manual exceptions",extracted/vanilla-keyword-inventory.csv,seed
Animal prey,NPC/KEYWORD/FACT,"ActorTypeAnimal, Wolf, Bear, Deer, Elk",SkyrimRef_Actor_HuntPrey,"Hircine, Kyne, Bosmer hunt rites","Hostility/context gate required; no raw animal kill farming",extracted/vanilla-keyword-inventory.csv,seed
Craft recipe,COBJ,"Temper*, Recipe*, Smelt*, Food*",SkyrimRef_Recipe_CraftLabor,"Malacath/Zenithar craft signals and offering creation","Classify by workbench keyword and created object",extracted/vanilla-crafting-recipe-candidates.csv,seed
